user_id,movie_id,rating
1,110,1
1,147,4.5
1,858,5
1,1246,5
1,1968,4
1,2762,4.5
1,2959,4
1,4226,4
2,5,3
2,25,3
2,58,3
2,64,4
2,79,4
2,141,3
2,260,4
2,339,5
2,377,4
2,605,4
2,628,4
2,648,4
2,762,3
2,780,3
2,786,1
2,788,1
2,1552,2
3,480,3
3,500,2
3,527,4
3,858,4
3,1092,3
3,1968,3
3,3101,3
3,4474,3
4,223,4
4,415,4
4,648,4
4,1422,4
4,1597,3
4,1644,3
4,1645,4
4,1732,3
4,1909,4
4,1911,4
4,2023,5
4,2355,4
4,2692,4
4,2694,1
4,2762,5
4,2805,3
4,3004,1
4,3114,5
4,3160,4
4,3476,4
4,3578,4
4,4226,3
4,4896,4
5,157,2
5,296,4
5,541,5
5,750,5
5,858,5
5,1254,5
5,1945,5
5,2163,2
5,3079,5
5,3114,4
6,11,3
6,2565,4
7,293,5
7,318,4
7,2959,4.5
7,4896,4.5
7,4993,5
7,5618,4
7,5816,4.5
7,6934,2
7,8368,4
7,8961,2.5
7,30793,2.5
7,39183,3
7,40815,2.5
7,41566,2
8,170,3
8,318,5
8,553,4
8,585,2
8,647,4
8,653,4
8,784,2
8,832,2
8,912,4
8,968,4
8,1265,3
8,1266,5
8,1404,1
8,1405,4
8,1499,3
8,1591,4
8,1626,3
8,1653,2
8,1792,1
8,1837,1
8,1882,2
8,1965,3
8,1968,3
8,2019,5
8,2022,3
8,2110,2
8,2193,2
8,2300,2
8,2313,3
8,2334,3
8,2469,3
8,2762,2
8,3016,3
8,3036,3
8,3082,3
8,3107,2
8,3146,3
8,3175,5
8,3527,5
8,4291,2
8,4443,4
8,4638,3
8,4643,2
8,4787,2
8,4896,4
8,4954,3
8,4956,4
8,4979,4
8,4993,4
8,5002,2
8,5064,3
8,5125,2
9,150,4
9,342,5
9,497,4
9,594,3
9,750,4
9,1059,5
9,1246,4.5
9,1262,4
9,1391,2.5
9,1653,4.5
9,1676,0.5
9,1682,4.5
9,2321,4
9,2324,5
9,2355,4.5
9,2395,4.5
9,2640,2
9,2762,4
9,3114,4.5
9,4226,4
9,4886,4
9,4896,3.5
9,4973,5
9,4979,4.5
9,4993,5
9,5816,3.5
9,5902,3.5
9,5991,4.5
10,150,4
10,153,3
10,165,4
10,296,5
10,344,4
10,349,5
10,380,5
10,457,4
10,588,5
10,590,3
10,592,4
10,593,4
10,595,5
11,110,3.5
11,165,3.5
11,231,2.5
11,260,3
11,296,4
11,318,4.5
11,344,3
11,364,3
11,457,3.5
11,480,3.5
11,500,4
11,527,4.5
11,593,4
11,750,3
11,784,2
11,1073,4
11,1089,3.5
11,1127,3.5
11,1265,2.5
11,1370,3.5
11,1573,3.5
11,1721,4
11,1923,4
11,2028,4
11,2054,2.5
11,2959,2.5
11,3513,3.5
11,3578,4
11,4226,2.5
11,4973,4.5
11,4993,4
11,4995,4
11,5064,4.5
11,6058,3.5
11,7347,3.5
11,8665,4
11,36513,3
11,37653,3
11,37727,3
11,42013,2
11,44555,4
11,46948,2
11,47518,3
11,47610,4
11,48780,4.5
11,49280,1.5
11,49530,3.5
12,16,4
12,17,4
12,73,2
12,82,4
12,97,4
12,123,5
12,150,5
12,155,1
12,157,1
12,160,1
12,162,4
12,175,5
12,176,4
12,194,5
12,198,1
12,223,5
12,232,4
12,235,5
12,246,5
12,247,5
12,260,5
12,273,3
12,290,5
12,293,4
12,296,5
12,301,2
12,307,5
12,309,4
12,318,4
12,322,5
12,334,3
12,337,4
12,348,4
12,363,4
12,441,4
12,457,3
12,475,3
12,492,4
12,497,4
12,501,5
12,523,3
12,527,5
12,535,4
12,541,4
12,549,5
12,568,3
12,581,5
12,590,4
12,593,4
12,595,3
12,608,5
12,750,5
12,759,5
12,778,5
12,800,5
12,858,4
12,866,3
12,899,3
12,903,5
12,912,5
12,916,4
12,926,4
12,940,3
12,953,4
12,994,5
12,1023,5
12,1059,4
12,1089,5
12,1213,4
12,1245,4
12,1246,5
12,1273,5
12,1277,4
12,1279,5
12,1280,5
12,1285,5
12,1358,4
12,1394,5
12,1499,1
12,1537,5
12,1552,1
12,1584,3
12,1587,1
12,1610,4
12,1635,4
12,1639,5
12,1641,3
12,1643,4
12,1648,5
12,1672,2
12,1673,3
12,1678,5
12,1682,4
12,1683,4
12,1701,3
12,1719,5
12,1721,2
12,1730,4
12,1834,3
12,1836,4
12,1883,4
12,1892,1
12,1914,5
12,1923,2
12,1954,2
12,1957,4
12,1961,3
12,2020,5
12,2028,5
12,2064,4
12,2095,4
12,2108,4
12,2144,2
12,2160,4
12,2193,3
12,2252,3
12,2263,1
12,2266,1
12,2268,3
12,2291,4
12,2294,2
12,2302,5
12,2312,4
12,2331,4
12,2333,4
12,2348,4
12,2355,4
12,2363,2
12,2657,5
12,2692,5
12,2762,3
12,2791,1
12,2841,3
12,3052,5
12,3077,4
12,3079,4
13,1911,2
13,1965,3.5
13,2116,4.5
13,6957,3
14,293,2
14,318,2.5
14,2959,3
15,6,4
15,107,3.5
15,135,0.5
15,260,1.5
15,293,5
15,296,4.5
15,348,1.5
15,349,3.5
15,441,3
15,531,2.5
15,541,4.5
15,599,5
15,608,5
15,745,4
15,750,5
15,778,4.5
15,838,0.5
15,1093,1.5
15,1249,3.5
15,1262,4
15,1265,5
15,1272,5
15,1278,5
15,1378,1
15,1387,5
15,1394,5
15,1396,1
15,1408,5
15,1580,3.5
15,1610,4.5
15,1732,5
15,1831,0.5
15,1884,4
15,1954,4
15,2028,4
15,2072,2.5
15,2108,1
15,2300,3.5
15,2502,5
15,2692,4.5
15,2728,3
15,2959,4
15,3030,5
15,3037,4.5
15,3112,3.5
15,3527,4.5
15,3578,4
15,3681,4.5
15,4011,4
15,4327,4
15,4886,4
15,4973,4.5
15,4979,5
15,5060,5
15,5899,4.5
15,6016,5
15,6947,5
15,7090,3
15,7445,4
15,7980,4
15,8665,3.5
15,8874,5
15,8961,5
15,26172,4
15,26614,4.5
15,36529,4.5
15,37731,0.5
15,38061,4
15,44191,5
15,46578,5
15,46976,4.5
15,49530,3.5
16,111,5
16,198,4.5
16,260,3.5
16,296,5
16,316,3.5
16,318,5
16,380,4
16,480,4.5
16,541,5
16,593,4.5
16,924,5
16,968,4.5
16,1089,5
16,1255,4.5
16,1580,4.5
16,1653,5
16,1676,4.5
16,1682,4
16,1690,4
16,1732,4.5
16,1884,5
16,2105,5
16,2193,4
16,2288,5
16,2455,5
16,2528,4.5
16,2662,4.5
16,2791,5
16,2959,5
16,3033,4
16,3527,5
16,3698,4.5
16,4011,4.5
16,4226,4.5
16,4553,5
16,4975,4
16,4995,5
16,6016,4.5
16,6537,3.5
16,7984,4.5
16,8464,4
16,8985,4
16,26558,4
16,31658,5
16,42738,4
16,44191,5
17,593,4
17,597,5
17,1089,4
17,2109,4
17,3210,4
17,4226,4
17,4228,2
17,4247,3
18,81,5
18,912,5
19,327,1
19,481,2.5
19,880,2.5
19,1125,2
19,1411,2.5
19,2108,1.5
19,2109,2
19,2160,4
19,2371,1.5
20,150,4
20,161,4
20,216,3.5
20,260,4
20,296,4.5
20,344,4
20,345,4.5
20,364,3
20,410,5
20,480,4
20,551,4.5
20,588,5
20,595,3.5
20,780,3
20,858,4.5
20,899,4
20,911,4.5
20,912,5
20,919,4
20,920,5
20,936,3.5
20,946,4.5
20,1265,4
20,1422,2.5
20,1485,4
20,1566,4
20,1573,3
20,1580,4
20,1588,4
20,1682,5
20,1688,4
20,1701,4
20,1732,4.5
20,1907,4
20,2010,2.5
20,2078,4
20,2087,3
20,2089,3
20,2124,5
20,2141,3
20,2291,4
20,2294,4.5
20,2325,4
20,2355,4
20,2617,4
20,2657,4.5
20,2687,3
20,2701,3
20,2959,4
20,3033,4
20,3034,4
20,3114,4.5
20,3159,4.5
20,3176,3.5
